dem_req_rate	req_rate_www.drudgereport.com	con_rate_www.drudgereport.com	min_rep_rate_www.drudgereport.com	avg_rep_rate_www.drudgereport.com	max_rep_rate_www.drudgereport.com	stddev_rep_rate_www.drudgereport.com	resp_time_www.drudgereport.com	net_io_www.drudgereport.com	errors_www.drudgereport.com	req_rate_cogsterproduction.littleredbrick.net	con_rate_cogsterproduction.littleredbrick.net	min_rep_rate_cogsterproduction.littleredbrick.net	avg_rep_rate_cogsterproduction.littleredbrick.net	max_rep_rate_cogsterproduction.littleredbrick.net	stddev_rep_rate_cogsterproduction.littleredbrick.net	resp_time_cogsterproduction.littleredbrick.net	net_io_cogsterproduction.littleredbrick.net	errors_cogsterproduction.littleredbrick.net
100	29.8	9.9	18.6	19.9	20.4	0.5	49.7	750.1	50	73.4	9.1	0.0	71.4	100.4	33.6	317.0	434.9	3.08201732042792
300	26.9	20.4	5.0	8.1	10.2	2.3	635.3	380.4	203.252032520325	63.7	18.7	38.0	51.4	72.4	14.8	251.7	298.6	33.3333333333333
500	28.6	27.3	2.2	3.9	4.8	1.4	585.8	260.5	396.825396825397	48.4	25.8	14.2	30.3	52.2	19.7	232.5	154.7	100.627615062762
700	6.9	41.2	0.0	0.3	0.6	0.4	294.8	9.8	16666.6666666667	0.0	41.2	0.0	0.0	0.0	0.0	0.0	0.0	101
900	0.0	47.4	0.0	0.0	0.0	0.0	0.0	0.0	101	0.0	47.4	0.0	0.0	0.0	0.0	0.0	0.0	101
